JAPANESE_ja_Hani_x_joyo
========================

Characters include in the JAPANESE_ja_Hani_x_joyo ja_Hani_x_joyo set
=====================================================================

~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
005b57..005b58   字 存
005b5d           孝
005b63..005b64   季 孤
005b66           学
005b6b           孫
005b85           宅
005b87..005b89   宇 守 安
005b8c           完
005b97..005b9d   宗 官 宙 定 宛 宜 宝
005b9f           実
005ba2..005ba4   客 宣 室
005bae           宮
005bb0           宰
005bb3..005bb6   害 宴 宵 家
005bb9           容
005bbf           宿
005bc2           寂
005bc4           寄
005bc6           密
005bcc           富
005bd2           寒
005bdb           寛
005bdd           寝
005bdf           察
005be1           寡
005be7           寧
005be9           審
005bee           寮
005bf8           寸
005bfa           寺
005bfe..005bff   対 寿
005c01..005c02   封 専
005c04           射
005c06           将
005c09..005c0b   尉 尊 尋
005c0e..005c0f   導 小
005c11           少
005c1a           尚
005c31           就
005c3a..005c40   尺 尻 尼 尽 尾 尿 局
005c45           居
005c48           屈
005c4a..005c4b   届 屋
005c55           展
005c5e           属
005c64..005c65   層 履
005c6f           屯
005c71           山
005c90           岐
005ca1           岡
005ca9           岩
005cac           岬
005cb3           岳
005cb8           岸
005ce0..005ce1   峠 峡
005cf0           峰
005cf6           島
005d07           崇
005d0e           崎
005d16           崖
005d29           崩
005d50           嵐
005ddd..005dde   川 州
005de1           巡
005de3           巣
005de5..005de8   工 左 巧 巨
005dee           差
005df1           己
005dfb           巻
005dfe           巾
005e02..005e03   市 布
005e06           帆
005e0c           希
005e1d           帝
005e25           帥
005e2b           師
005e2d           席
005e2f..005e30   帯 帰
005e33           帳
005e38           常
005e3d           帽
005e45           幅
005e55           幕
005e63           幣
005e72..005e74   干 平 年
005e78..005e79   幸 幹
005e7b..005e7e   幻 幼 幽 幾
005e81           庁
005e83           広
005e8a           床
005e8f           序
005e95           底
005e97           店
005e9c           府
005ea6..005ea7   度 座
005eab           庫
005ead           庭
005eb6..005eb8   庶 康 庸
005ec3           廃
005ec9..005eca   廉 廊
005ef6..005ef7   延 廷
005efa           建
005f01           弁
005f04           弄
005f0a           弊
005f0f..005f10   式 弐
005f13..005f15   弓 弔 引
005f1f           弟
005f25..005f27   弥 弦 弧
005f31           弱
005f35           張
005f37           強
005f3e           弾
005f53           当
005f59           彙
005f62           形
005f69           彩
005f6b           彫
005f70..005f71   彰 影
005f79           役
005f7c           彼
005f80..005f81   往 征
005f84..005f85   径 待
005f8b..005f8c   律 後
005f90           徐
005f92..005f93   徒 従
005f97           得
005fa1           御
005fa9..005faa   復 循
005fae           微
005fb3..005fb4   徳 徴
005fb9           徹
005fc3           心
005fc5           必
005fcc..005fcd   忌 忍
005fd7..005fd9   志 忘 忙
005fdc           応
005fe0           忠
005feb           快
005ff5           念
006012           怒
006016           怖
00601d           思
006020           怠
006025           急
006027..006028   性 怨
00602a           怪
00604b           恋
006050           恐
006052           恒
006063           恣
006065           恥
006068..006069   恨 恩
00606d           恭
00606f           息
006075           恵
006094           悔
00609f..0060a0   悟 悠
0060a3           患
0060a6           悦
0060a9..0060aa   悩 悪
0060b2           悲
0060bc           悼
0060c5           情
0060d1           惑
0060dc           惜
0060e7..0060e8   惧 惨
0060f0           惰
0060f3           想
006101           愁
006109           愉
00610f           意
00611a..00611b   愚 愛
00611f           感
006144           慄
006148           慈
00614b..00614c   態 慌
00614e           慎
006155           慕
006162..006163   慢 慣
006168           慨
00616e           慮
006170           慰
006176           慶
006182           憂
00618e           憎
0061a4           憤
0061a7           憧
0061a9           憩
0061ac           憬
0061b2           憲
0061b6           憶
0061be           憾
0061c7           懇
0061d0           懐
0061f2           懲
0061f8           懸
006210..006212   成 我 戒
00621a           戚
006226           戦
00622f           戯
006234           戴
006238           戸
00623b           戻
00623f..006240   房 所
006247           扇
006249           扉
00624b           手
00624d           才
006253           打
006255           払
006271           扱
006276           扶
006279           批
00627f..006280   承 技
006284           抄
00628a           把
006291           抑
006295           投
006297..006298   抗 折
00629c           抜
00629e           択
0062ab           披
0062b1           抱
0062b5           抵
0062b9           抹
0062bc..0062bd   押 抽
0062c5           担
0062c9           拉
0062cd           拍
0062d0           拐
0062d2..0062d3   拒 拓
0062d8..0062d9   拘 拙
0062db           招
0062dd           拝
0062e0..0062e1   拠 拡
0062ec..0062ed   括 拭
0062f3           拳
0062f6..0062f7   拶 拷
0062fe           拾
006301           持
006307           指
006311           挑
006319           挙
00631f           挟
006328           挨
00632b           挫
00632f           振
00633f           挿
006349           捉
006355           捕
006357           捗
00635c           捜
006368           捨
00636e           据
00637b           捻
006383           掃
006388           授
00638c           掌
006392           排
006398           掘
00639b           掛
0063a1..0063a2   採 探
0063a5           接
0063a7..0063a8   控 推
0063aa           措
0063b2           掲
0063cf..0063d0   描 提
0063da..0063db   揚 換
0063e1           握
0063ee           揮
0063f4           援
0063fa           揺
00640d           損
00642c..00642d   搬 搭
00643a           携
00643e           搾
006442           摂
006458           摘
006469           摩
00646f           摯
006483           撃
0064a4           撤
0064ae           撮
0064b2           撲
0064c1           擁
0064cd           操
0064e6           擦
0064ec           擬
00652f           支
006539           改
00653b           攻
00653e..00653f   放 政
006545           故
00654f           敏
006551           救
006557           敗
006559           教
006562..006563   敢 散
00656c           敬
006570           数
006574..006575   整 敵
006577           敷
006587           文
006589           斉
00658e           斎
006591           斑
006597           斗
006599           料
00659c           斜
0065a4..0065a5   斤 斥
0065ac..0065ad   斬 断
0065b0           新
0065b9           方
0065bd           施
0065c5           旅
0065cb           旋
0065cf           族
0065d7           旗
0065e2           既
0065e5..0065e9   日 旦 旧 旨 早
0065ec           旬
0065fa           旺
006606..006607   昆 昇
00660e           明
006613..006614   易 昔
00661f..006620   星 映
006625           春
006627..006628   昧 昨
00662d           昭
00662f           是
00663c           昼
006642           時
006669           晩
00666e..00666f   普 景
006674           晴
006676           晶
006681           暁
006687           暇
006691           暑
006696..006697   暖 暗
0066a6           暦
0066ab           暫
0066ae           暮
0066b4           暴
0066c7           曇
0066d6           曖
0066dc           曜
0066f2           曲
0066f4           更
0066f8..0066f9   書 曹
0066fd           曽
0066ff..006700   替 最
006708..006709   月 有
00670d           服
006715           朕
006717           朗
00671b           望
00671d           朝
00671f           期
006728           木
00672a..00672d   未 末 本 札
006731           朱
006734           朴
00673a           机
00673d           朽
006749           杉
006750..006751   材 村
00675f           束
006761           条
006765           来
00676f           杯
006771           東
00677e..00677f   松 板
006790           析
006795           枕
006797           林
00679a           枚
00679c..00679d   果 枝
0067a0           枠
0067a2           枢
0067af           枯
0067b6           架
0067c4           柄
0067d0           某
0067d3..0067d4   染 柔
0067f1           柱
0067f3           柳
0067f5           柵
0067fb           査
0067ff           柿
006803..006804   栃 栄
006813           栓
006821           校
00682a           株
006838..006839   核 根
00683c..00683d   格 栽
006841           桁
006843           桃
006848           案
006851           桑
00685c           桜
00685f           桟
006885           梅
006897           梗
0068a8           梨
0068b0           械
0068c4           棄
0068cb           棋
0068d2           棒
0068da           棚
0068df           棟
0068ee           森
0068fa           棺
006905           椅
00690d..00690e   植 椎
00691c           検
00696d           業
006975           極
006977           楷
00697c..00697d   楼 楽
006982           概
0069cb           構
0069d8           様
0069fd           槽
006a19           標
006a21           模
006a29..006a2a   権 横
006a39           樹
006a4b           橋
006a5f           機
006b04           欄
006b20..006b21   欠 次
006b27           欧
006b32           欲
006b3a           欺
006b3e           款
006b4c           歌
006b53           歓
006b62..006b63   止 正
006b66           武
006b69           歩
006b6f           歯
006b73..006b74   歳 歴
006b7b           死
006b89..006b8b   殉 殊 残
006b96           殖
006bb4..006bb5   殴 段
006bba..006bbb   殺 殻
006bbf..006bc0   殿 毀
006bcd..006bce   母 毎
006bd2           毒
006bd4           比
006bdb           毛
006c0f           氏
006c11           民
006c17           気
006c34           水
006c37..006c38   氷 永
006c3e           氾
006c41..006c42   汁 求
006c4e           汎
006c57           汗
006c5a           汚
006c5f..006c60   江 池
006c70           汰
006c7a           決
006c7d           汽
006c83           沃
006c88           沈
006c96           沖
006c99           沙
006ca1..006ca2   没 沢
006cb3           河
006cb8..006cb9   沸 油
006cbb..006cbc   治 沼
006cbf           沿
006cc1           況
006cc9..006cca   泉 泊
006ccc           泌
006cd5           法
006ce1..006ce3   泡 波 泣
006ce5           泥
006ce8           注
006cf0           泰
006cf3           泳
006d0b           洋
006d17           洗
006d1e           洞
006d25           津
006d2a           洪
006d3b           活
006d3e           派
006d41           流
006d44..006d45   浄 浅
006d5c           浜
006d66           浦
006d6a           浪
006d6e           浮
006d74           浴
006d77..006d78   海 浸
006d88           消
006d99           涙
006daf           涯
006db2           液
006dbc           涼
006dd1           淑
006de1           淡
006deb           淫
006df1           深
006df7           混
006dfb           添
006e05           清
006e07..006e09   渇 済 渉
006e0b           渋
006e13           渓
006e1b           減
006e21           渡
006e26           渦
006e29           温
006e2c           測
006e2f           港
006e56           湖
006e67           湧
006e6f           湯
006e7e..006e80   湾 湿 満
006e90           源
006e96           準
006e9d           溝
006eb6           溶
006eba           溺
006ec5           滅
006ecb           滋
006ed1           滑
006edd..006ede   滝 滞
006ef4           滴
006f01..006f02   漁 漂
006f06           漆
006f0f           漏
006f14           演
006f20           漠
006f22           漢
006f2b..006f2c   漫 漬
006f38           漸
006f54           潔
006f5c           潜
006f5f           潟
006f64           潤
006f6e           潮
006f70           潰
006f84           澄
006fc0..006fc1   激 濁
006fc3           濃
006feb           濫
006fef           濯
00702c           瀬
00706b           火
00706f..007070   灯 灰
00707d           災
007089..00708a   炉 炊
00708e           炎
0070ad           炭
0070b9..0070ba   点 為
0070c8           烈
007121           無
007126           焦
007136           然
00713c           焼
00714e           煎
007159           煙
007167           照
007169           煩
00716e           煮
00718a           熊
00719f           熟
0071b1           熱
0071c3           燃
0071e5           燥
007206           爆
00722a           爪
007235..007236   爵 父
00723d           爽
007247..007248   片 版
007259           牙
00725b           牛
007267           牧
007269           物
007272           牲
007279           特
0072a0           犠
0072ac           犬
0072af           犯
0072b6           状
0072c2           狂
0072d9           狙
0072e9           狩
0072ec..0072ed   独 狭
00731b           猛
00731f           猟
00732b           猫
00732e           献
007336           猶
00733f           猿
007344           獄
007363           獣
007372           獲
007384           玄
007387           率
007389           玉
00738b           王
0073a9           玩
0073cd           珍
0073e0           珠
0073ed           班
0073fe           現
007403           球
007406           理
007434           琴
007460           瑠
007483           璃
0074a7           璧
0074b0           環
0074bd           璽
0074e6           瓦
0074f6           瓶
007518           甘
00751a           甚
00751f           生
007523           産
007528           用
007530..007533   田 由 甲 申
007537           男
00753a..00753b   町 画
00754c           界
00754f           畏
007551           畑
007554           畔
007559           留
00755c..00755d   畜 畝
007565           略
00756a           番
007570           異
007573           畳
00757f           畿
00758e           疎
007591           疑
0075ab           疫
0075b2           疲
0075be           疾
0075c5           病
0075c7           症
0075d5           痕
0075d8           痘
0075db           痛
0075e2           痢
0075e9           痩
0075f4           痴
00760d           瘍
007642           療
007652           癒
007656           癖
00767a..00767b   発 登
00767d..00767e   白 百
007684           的
007686..007687   皆 皇
0076ae           皮
0076bf           皿
0076c6           盆
0076ca           益
0076d7           盗
0076db           盛
0076df           盟
0076e3..0076e4   監 盤
0076ee           目
0076f2           盲
0076f4           直
0076f8           相
0076fe           盾
007701           省
007709           眉
00770b..00770c   看 県
00771f..007720   真 眠
00773a           眺
00773c           眼
007740           着
007761           睡
007763           督
007766           睦
0077ac..0077ad   瞬 瞭
0077b3           瞳
0077db           矛
0077e2           矢
0077e5           知
0077ed           短
0077ef           矯
0077f3           石
007802           砂
007814..007815   研 砕
007832           砲
007834           破
00785d           硝
00786b..00786c   硫 硬
007881           碁
007891           碑
0078ba           確
0078c1           磁
0078e8           磨
007901           礁
00790e           礎
00793a           示
00793c           礼
00793e           社
007948..007949   祈 祉
007956           祖
00795d..00795e   祝 神
007965           祥
007968           票
00796d           祭
007981           禁
007985           禅
00798d           禍
00798f           福
0079c0..0079c1   秀 私
0079cb           秋
0079d1..0079d2   科 秒
0079d8           秘
0079df           租
0079e9           秩
0079f0           称
0079fb           移
007a0b           程
007a0e           税
007a1a           稚
007a2e           種
007a32           稲
007a3c..007a3d   稼 稽
007a3f..007a40   稿 穀
007a42           穂
007a4d           積
007a4f           穏
007a6b           穫
007a74           穴
007a76           究
007a7a           空
007a81           突
007a83           窃
007a92..007a93   窒 窓
007a9f           窟
007aae..007aaf   窮 窯
007acb           立
007adc           竜
007ae0           章
007ae5           童
007aef           端
007af6           競
007af9           竹
007b11           笑
007b1b           笛
007b26           符
007b2c           第
007b46           筆
007b49           等
007b4b           筋
007b52           筒
007b54           答
007b56           策
007b87           箇
007b8b           箋
007b97           算
007ba1           管
007bb1           箱
007bb8           箸
007bc0           節
007bc4           範
007bc9           築
007be4           篤
007c21           簡
007c3f           簿
007c4d           籍
007c60           籠
007c73           米
007c89           粉
007c8b           粋
007c92           粒
007c97..007c98   粗 粘
007c9b           粛
007ca7           粧
007cbe           精
007cd6           糖
007ce7           糧
007cf8           糸
007cfb           系
007cfe           糾
007d00           紀
007d04..007d05   約 紅
007d0b           紋
007d0d           納
007d14           純
007d19..007d1b   紙 級 紛
007d20..007d22   素 紡 索
007d2b           紫
007d2f..007d30   累 細
007d33           紳
007d39..007d3a   紹 紺
007d42           終
007d44           組
007d4c           経
007d50           結
007d5e           絞
007d61           絡
007d66           給
007d71           統
007d75..007d76   絵 絶
007d79           絹
007d99..007d9a   継 続
007dad           維
007db1..007db2   綱 網
007dbb           綻
007dbf           綿
007dca           緊
007dcf           総
