JAPANESE_ja_Hani_x_jinmeiyo
============================

Characters include in the JAPANESE_ja_Hani_x_jinmeiyo ja_Hani_x_jinmeiyo set
=============================================================================

~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
007078           灸
00707c           灼
0070cf           烏
00711a           焚
007130           焰
007149           煉
00714c           煌
007164           煤
00716e           煮
007199           熙
0071c8           燈
0071ce           燎
0071d2           燒
0071d5           燕
0071e6           燦
0071ed           燭
0071ff           燿
00722d           爭
007232           爲
00723e           爾
007252           牒
00725f           牟
007261           牡
00727d           牽
007280           犀
0072c0           狀
0072f9           狹
0072fc           狼
00732a           猪
007345           獅
007378           獸
007396           玖
0073b2           玲
0073c0           珀
0073c2           珂
0073c8           珈
0073ca           珊
007409           琉
007422           琢
007425           琥
007433           琳
007435..007436   琵 琶
00745a..00745b   瑚 瑛
00745e           瑞
007473           瑳
007476           瑶
0074dc           瓜
0074e2           瓢
007525           甥
00752b           甫
007560           畠
007562           畢
00758a..00758b   疊 疋
00758f           疏
007626           瘦
007690           皐
007693           皓
0076c3           盃
0076dc           盜
0076e1           盡
00771e           眞
007738           眸
0077a5           瞥
0077e9           矩
007825..007827   砥 砦 砧
00786f           硯
00788e           碎
007891           碑
007893           碓
007897           碗
0078a7           碧
0078a9           碩
0078d0           磐
0078ef           磯
00793e           社
007941           祁
007947..007949   祇 祈 祉
007950           祐
007955..007956   祕 祖
00795d..00795e   祝 神
007962           祢
007965           祥
007977           祷
00797f           祿
007984           禄
00798d..00798f   禍 禎 福
0079aa           禪
0079ae           禮
0079b0..0079b1   禰 禱
0079bd..0079be   禽 禾
0079e4           秤
0079e6           秦
007a00           稀
007a14           稔
007a1c           稜
007a1f           稟
007a3b           稻
007a40           穀
007a57           穗
007a63           穣
007a70           穰
007a79           穹
007a7f           穿
007a81           突
007a84           窄
007aaa           窪
007aba           窺
007ae3           竣
007aea           竪
007afa           竺
007aff           竿
007b08           笈
007b19           笙
007b20           笠
007b39           笹
007b48           筈
007b51           筑
007b94..007b95   箔 箕
007bc0           節
007bc7           篇
007be0           篠
007c1e           簞
007c3e           簾
007c7e           籾
007c9f           粟
007ca5           粥
007cb9           粹
007cca           糊
007d10           紐
007d17..007d18   紗 紘
007d2c           紬
007d43           絃
007d46           絆
007d62           絢
007d9c           綜
007da0           綠
007db4           綴
007db8           綸
007dba           綺
007dbe           綾
007dcb           緋
007dd6           緖
007de3           緣
007df4           練
007e1e           縞
007e23           縣
007e31           縱
007e41           繁
007e61           繡
007e6b           繫
007e82           纂
007e8f           纏
007e96           纖
007f72           署
007f9a           羚
007fd4           翔
007fe0           翠
008000           耀
008005           者
00800c           而
008036           耶
00803d           耽
008061           聡
00807d           聽
008087           肇
00808b           肋
0080b4           肴
0080e1           胡
0080e4           胤
008129           脩
008139           脹
008154           腔
00818f           膏
0081df           臟
0081e5           臥
0081ed           臭
008207           與
00821c           舜
008235           舵
008299           芙
0082a5..0082a6   芥 芦
0082ad           芭
0082b9           芹
0082d1           苑
0082d4           苔
0082fa           苺
008304..008305   茄 茅
008309           茉
00831c           茜
008338           茸
00837b           荻
008389..00838a   莉 莊
00839e           莞
0083ab           莫
0083c5           菅
0083d6           菖
0083e9           菩
0083eb           菫
0083f1           菱
008404           萄
00840a           萊
00840c           萌
008420           萠
008429           萩
00842c           萬
008431           萱
008457           著
008461           葡
008463           董
008466           葦
008475           葵
00847a           葺
008490           蒐
008494           蒔
008499           蒙
0084b2           蒲
0084bc           蒼
0084c9           蓉
0084d1           蓑
0084ec           蓬
0084ee           蓮
008513           蔓
008523           蔣
008526           蔦
00852d           蔭
008543           蕃
008549           蕉
00854e           蕎
008557           蕗
008568           蕨
00856a           蕪
00857e           蕾
008597           薗
008599           薙
0085a9           薩
0085b0           薰
0085c1           藁
0085cf           藏
0085dd           藝
0085e5           藥
008607           蘇
00862d           蘭
00865b..00865c   虛 虜
008766           蝦
008776           蝶
0087ba           螺
0087ec           蟬
0087f9           蟹
00881f           蠟
00885e           衞
00887f           衿
008888           袈
0088b4           袴
0088dd           裝
0088df           裟
0088e1           裡
0088f3           裳
008956           襖
008996           視
0089bd           覽
008a0a           訊
008a23           訣
008a3b           註
008a62           詢
008a6b           詫
008abc           誼
008ac4           諄
008acf           諏
008ad2           諒
008af8           諸
008afa           諺
008b01..008b02   謁 謂
008b20           謠
008b39           謹
008b83           讃
008b93           讓
008c79           豹
008cb0           貰
008cd1           賑
008cd3           賓
008ce3           賣
008cf4           賴
008d08           贈
008d73           赳
008de8           跨
008e44           蹄
008e5f           蹟
008f14           輔
008f2f           輯
008f3f           輿
008f49           轉
008f5f           轟
008fb0           辰
008fbb           辻
008fbf           辿
008fc2           迂
008fc4           迄
008fe6           迦
008fea           迪
009017           逗
009019           這
00901e           逞
009022           逢
009041           遁
009059           遙
009065           遥
00907c           遼
009091           邑
0090c1           郁
0090de           郞
0090fd           都
00912d           鄭
009149           酉
009187           醇
009189           醉
00918d           醍
009190           醐
0091ac           醬
0091c0           釀
0091c9           釉
0091d8           釘
0091e7           釧
009291           銑
0092d2           鋒
0092f8           鋸
009304           錄
009306           錆
009310           錐
009318           錘
00932b           錫
00934a           鍊
00936c           鍬
0093a7           鎧
0093ad           鎭
009444           鑄
009583           閃
00958f           閏
0095a4           閤
00963f..009640   阿 陀
009677           陷
009688           隈
0096aa           險
0096bc           隼
0096c0..0096c1   雀 雁
0096db..0096dc   雛 雜
0096e3           難
0096eb           雫
00971e           霞
009756           靖
00975c           靜
009784           鞄
00978d           鞍
009798           鞘
0097a0           鞠
0097ad           鞭
0097ff           響
009801           頁
00980c           頌
009817           頗
00985a           顚
00985e           類
00986f           顯
0098af           颯
0098dc           飜
009957           饗
0099a8           馨
0099b3..0099b4   馳 馴
0099c8           駈
0099d5           駕
0099ff           駿
009a37           騷
009a4d           驍
009a57           驗
009aee           髮
009b41           魁
009b6f           魯
009b8e           鮎
009bc9           鯉
009bdb           鯛
009c2f           鰯
009c52           鱒
009c57           鱗
009ce9           鳩
009cf3           鳳
009cf6           鳶
009d28           鴨
009d3b           鴻
009d5c           鵜
009d6c           鵬
009dc4           鷄
009dd7           鷗
009df2           鷲
009df9..009dfa   鷹 鷺
009e92           麒
009e9f           麟
009ebf           麿
009ec3           黃
009ece           黎
009ed1           黑
009ed8           默
009edb           黛
009f0e           鼎
009f4a           齊
009f8d           龍
00fa16           猪
00fa46           渚
00fa4a           琢
00fa4f           祐
00fa53           禎
00fa67           逸

~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

