Unicode|Character New/Shinjitai|Order|Old/Kyūjitai|Radical|Strokes|Grade|Year added|English meaning|Readings|Readings Rōmaji
0x006f2c|漬|1433||水|14|S|1981|pickling|つ-ける、つ-かる|tsu-keru, tsu-karu
0x00576a|坪|1434||土|8|S||two-mat area|つぼ|tsubo
0x00722a|爪|1435||爪|4|S|2010|claw|つめ、（つま）|tsume, (tsuma)
0x009db4|鶴|1436||鳥|21|S|2010|crane|つる|tsuru
0x004f4e|低|1437||人|7|4||low|テイ、ひく-い、ひく-める、ひく-まる|tei, hiku-i, hiku-meru, hiku-maru
0x005448|呈|1438||口|7|S||display|テイ|tei
0x005ef7|廷|1439||廴|7|S||courts|テイ|tei
0x005f1f|弟|1440||弓|7|2||younger brother|テイ、（ダイ）、（デ）、おとうと|tei, (dai), (de), otōto
0x005b9a|定|1441||宀|8|3||decide|テイ、ジョウ、さだ-める、さだ-まる、さだ-か|tei, jō, sada-meru, sada-maru, sada-ka
0x005e95|底|1442||广|8|4||bottom|テイ、そこ|tei, soko
0x0062b5|抵|1443||手|8|S||resist|テイ|tei
0x0090b8|邸|1444||邑|8|S||residence|テイ|tei
0x004ead|亭|1445||亠|9|S|1981|pavilion|テイ|tei
0x008c9e|貞|1446||貝|9|S||upright|テイ|tei
0x005e1d|帝|1447||巾|9|S||sovereign|テイ|tei
0x008a02|訂|1448||言|9|S||revise|テイ|tei
0x005ead|庭|1449||广|10|3||garden|テイ、にわ|tei, niwa
0x009013|逓|1450|遞|辵|10|S||relay|テイ|tei
0x00505c|停|1451||人|11|5||halt|テイ|tei
0x005075|偵|1452||人|11|S|1981|spy|テイ|tei
0x005824|堤|1453||土|12|S||dike|テイ、つつみ|tei, tsutsumi
0x0063d0|提|1454||手|12|5||present|テイ、さ-げる|tei, sa-geru
0x007a0b|程|1455||禾|12|5||extent|テイ、ほど|tei, hodo
0x008247|艇|1456||舟|13|S||rowboat|テイ|tei
0x007de0|締|1457||糸|15|S||tighten|テイ、し-まる、し-める|tei, shi-maru, shi-meru
0x008ae6|諦|1458||言|16|S|2010|abandon|テイ、あきら-める|tei, akira-meru
0x006ce5|泥|1459||水|8|S|1981|mud|デイ、どろ|dei, doro
0x007684|的|1460||白|8|4||target|テキ、まと|teki, mato
0x007b1b|笛|1461||竹|11|3||flute|テキ、ふえ|teki, fue
0x006458|摘|1462||手|14|S||pinch|テキ、つ-む|teki, tsu-mu
0x006ef4|滴|1463||水|14|S||drip|テキ、しずく、したた-る|teki, shizuku, shitata-ru
0x009069|適|1464||辵|14|5||suitable|テキ|teki
0x006575|敵|1465||攴|15|6||enemy|テキ、かたき|teki, kataki
0x006eba|溺 [7]|1466||水|13|S|2010|drown|デキ、おぼ-れる|deki, obo-reru
0x008fed|迭|1467||辵|8|S||transfer|テツ|tetsu
0x0054f2|哲|1468||口|10|S||philosophy|テツ|tetsu
0x009244|鉄|1469|鐵|金|13|3||iron|テツ|tetsu
0x005fb9|徹|1470||彳|15|S||penetrate|テツ|tetsu
0x0064a4|撤|1471||手|15|S||remove|テツ|tetsu
0x005929|天|1472||大|4|1||heaven|テン、あめ、（あま）|ten, ame, (ama)
0x005178|典|1473||八|8|4||code|テン|ten
0x005e97|店|1474||广|8|2||shop|テン、みせ|ten, mise
0x0070b9|点|1475|點|黑|9|2||point|テン|ten
0x005c55|展|1476||尸|10|6||expand|テン|ten
0x006dfb|添|1477||水|11|S||annexed|テン、そ-える、そ-う|ten, so-eru, so-u
0x008ee2|転|1478|轉|車|11|3||revolve|テン、ころ-がる、ころ-げる、ころ-がす、ころ-ぶ|ten, koro-garu, koro-geru, koro-gasu, koro-bu
0x005861|塡 [7]|1479||土|13|S|2010|fill in|テン|ten
0x007530|田|1480||田|5|1||rice paddy|デン、た|den, ta
0x004f1d|伝|1481|傳|人|6|4||transmit|デン、つた-わる、つた-える、つた-う|den, tsuta-waru, tsuta-eru, tsuta-u
0x006bbf|殿|1482||殳|13|S||Mr.|デン、テン、との、どの|den, ten, tono, dono
0x0096fb|電|1483||雨|13|2||electricity|デン|den
0x006597|斗|1484||斗|4|S||Big Dipper|ト|to
0x005410|吐|1485||口|6|S||spit|ト、は-く|to, ha-ku
0x0059ac|妬|1486||女|8|S|2010|jealousy|ト、ねた-む|to, neta-mu
0x005f92|徒|1487||彳|10|4||junior|ト|to
0x009014|途|1488||辵|10|S||route|ト|to
0x0090fd|都|1489|都 [4]|邑|11|3||metropolis|ト、ツ、みやこ|to, tsu, miyako
0x006e21|渡|1490||水|12|S||transit|ト、わた-る、わた-す|to, wata-ru, wata-su
0x005857|塗|1491||土|13|S||paint|ト、ぬ-る|to, nu-ru
0x008ced|賭 [7]|1492||貝|16|S|2010|gamble|ト、か-ける|to, ka-keru
0x00571f|土|1493||土|3|1||soil|ド、ト、つち|do, to, tsuchi
0x005974|奴|1494||女|5|S||guy|ド|do
0x0052aa|努|1495||力|7|4||toil|ド、つと-める|do, tsuto-meru
0x005ea6|度|1496||广|9|3||degrees|ド、（ト）、（タク）、たび|do, (to), (taku), tabi
0x006012|怒|1497||心|9|S||angry|ド、いか-る、おこ-る|do, ika-ru, oko-ru
0x005200|刀|1498||刀|2|2||sword|トウ、かたな|tō, katana
0x0051ac|冬|1499||冫|5|2||winter|トウ、ふゆ|tō, fuyu
0x00706f|灯|1500|燈|火|6|4||lamp|トウ、ひ|tō, hi
0x005f53|当|1501|當|田|6|2||hit|トウ、あ-たる、あ-てる|tō, a-taru, a-teru
0x006295|投|1502||手|7|3||throw|トウ、な-げる|tō, na-geru
0x008c46|豆|1503||豆|7|3||beans|トウ、（ズ）、まめ|tō, (zu), mame
0x006771|東|1504||木|8|2||east|トウ、ひがし|tō, higashi
0x005230|到|1505||刀|8|S||arrival|トウ|tō
0x009003|逃|1506||辵|9|S||escape|トウ、に-げる、に-がす、のが-す、のが-れる|tō, ni-geru, ni-gasu, noga-su, noga-reru
0x005012|倒|1507||人|10|S||overthrow|トウ、たお-れる、たお-す|tō, tao-reru, tao-su
0x0051cd|凍|1508||冫|10|S||frozen|トウ、こお-る、こご-える|tō, koo-ru, kogo-eru
0x005510|唐|1509||口|10|S||T'ang|トウ、から|tō, kara
0x005cf6|島|1510||山|10|3||island|トウ、しま|tō, shima
0x006843|桃|1511||木|10|S||peach tree|トウ、もも|tō, momo
0x008a0e|討|1512||言|10|6||chastise|トウ、う-つ|tō, u-tsu
0x00900f|透|1513||辵|10|S||transparent|トウ、す-く、す-かす、す-ける|tō, su-ku, su-kasu, su-keru
0x00515a|党|1514|黨|黑|10|6||group|トウ|tō
0x0060bc|悼|1515||心|11|S||lament|トウ、いた-む|tō, ita-mu
0x0076d7|盗|1516|盜|皿|11|S||steal|トウ、ぬす-む|tō, nusu-mu
0x009676|陶|1517||阜|11|S||pottery|トウ|tō
0x005854|塔|1518||土|12|S||pagoda|トウ|tō
0x00642d|搭|1519||手|12|S|1981|board|トウ|tō
0x0068df|棟|1520||木|12|S|1981|ridgepole|トウ、むね、（むな）|tō, mune, (muna)
0x006e6f|湯|1521||水|12|3||hot water|トウ、ゆ|tō, yu
0x0075d8|痘|1522||疒|12|S||pox|トウ|tō
0x00767b|登|1523||癶|12|3||climb|トウ、ト、のぼ-る|tō, to, nobo-ru
0x007b54|答|1524||竹|12|2||answer|トウ、こた-える、こた-え|tō, kota-eru, kota-e
0x007b49|等|1525||竹|12|3||class|トウ、ひと-しい|tō, hito-shii
0x007b52|筒|1526||竹|12|S||cylinder|トウ、つつ|tō, tsutsu
0x007d71|統|1527||糸|12|5||unite|トウ、す-べる|tō, su-beru
0x007a32|稲|1528|稻|禾|14|S||rice plant|トウ、いね、（いな）|tō, ine, (ina)
0x008e0f|踏|1529||足|15|S||step|トウ、ふ-む、ふ-まえる|tō, fu-mu, fu-maeru
0x007cd6|糖|1530||米|16|6||sugar|トウ|tō
0x00982d|頭|1531||頁|16|2||head|トウ、ズ、（ト）、あたま、かしら|tō, zu, (to), atama, kashira
0x008b04|謄|1532||言|17|S||mimeograph|トウ|tō
0x0085e4|藤|1533||艸|18|S|2010|wisteria|トウ、ふじ|tō, fuji
0x0095d8|闘|1534|鬭|鬥|18|S||fight|トウ、たたか-う|tō, tataka-u
0x009a30|騰|1535||馬|20|S||inflation|トウ|tō
0x00540c|同|1536||口|6|2||same|ドウ、おな-じ|dō, ona-ji
0x006d1e|洞|1537||水|9|S|1981|den|ドウ、ほら|dō, hora
0x0080f4|胴|1538||肉|10|S||trunk|ドウ|dō
0x0052d5|動|1539||力|11|3||move|ドウ、うご-く、うご-かす|dō, ugo-ku, ugo-kasu
0x005802|堂|1540||土|11|5||public chamber|ドウ|dō
0x007ae5|童|1541||立|12|3||juvenile|ドウ、わらべ|dō, warabe
0x009053|道|1542||辵|12|2||road|ドウ、（トウ）、みち|dō, (tō), michi
0x0050cd|働|1543||人|13|4||work|ドウ、はたら-く|dō, hatara-ku
0x009285|銅|1544||金|14|5||copper|ドウ|dō
0x005c0e|導|1545||寸|15|5||guide|ドウ、みちび-く|dō, michibi-ku
0x0077b3|瞳|1546||目|17|S|2010|pupil|ドウ、ひとみ|dō, hitomi
0x005ce0|峠|1547||山|9|S||mountain peak|とうげ|tōge
0x00533f|匿|1548||匸|10|S||hide|トク|toku
0x007279|特|1549||牛|10|4||special|トク|toku
0x005f97|得|1550||彳|11|5||acquire|トク、え-る、う-る|toku, e-ru, u-ru
0x007763|督|1551||目|13|S||coach|トク|toku
0x005fb3|徳|1552|德|彳|14|4||benevolence|トク|toku
0x007be4|篤|1553||竹|16|S||fervent|トク|toku
0x006bd2|毒|1554||毋|8|5||poison|ドク|doku
0x0072ec|独|1555|獨|犬|9|5||alone|ドク、ひと-り|doku, hito-ri
0x008aad|読|1556|讀|言|14|2||read|ドク、トク、（トウ）、よ-む|doku, toku, (tō), yo-mu
0x006803|栃 [5]|1557||木|9|4|2010|horse chestnut|（とち）[6]|(tochi)
0x0051f8|凸|1558||凵|5|S|1981|convex|トツ|totsu
0x007a81|突|1559|突 [4]|穴|8|S||stab|トツ、つ-く|totsu, tsu-ku
0x005c4a|届|1560|屆|尸|8|6||deliver|とど-ける、とど-く|todo-keru, todo-ku
0x005c6f|屯|1561||屮|4|S|1981|barracks|トン|ton
0x008c5a|豚|1562||豕|11|S||pork|トン、ぶた|ton, buta
0x009813|頓|1563||頁|13|S|2010|suddenly|トン|ton
0x008caa|貪|1564||貝|11|S|2010|covet|ドン、むさぼ-る|don, musabo-ru
0x00920d|鈍|1565||金|12|S||dull|ドン、にぶ-い、にぶ-る|don, nibu-i, nibu-ru
0x0066c7|曇|1566||日|16|S||cloudy weather|ドン、くも-る|don, kumo-ru
0x004e3c|丼|1567||丶|5|S|2010|bowl of food|どんぶり、（どん）|donburi, (don)
0x0090a3|那|1568||邑|7|S|2010|what|ナ|na
0x005948|奈|1569||大|8|4|2010|what|ナ|na
0x005185|内|1570||入|4|2||inside|ナイ、（ダイ）、うち|nai, (dai), uchi
0x0068a8|梨|1571||木|11|4|2010|pear tree|なし|nashi
0x008b0e|謎 [8]|1572||言|17|S|2010|riddle|なぞ|nazo
0x00934b|鍋|1573||金|17|S|2010|pot|なべ|nabe
0x005357|南|1574||十|9|2||south|ナン、（ナ）、みなみ|nan, (na), minami
0x008edf|軟|1575||車|11|S||soft|ナン、やわ-らか、やわ-らかい|nan, yawa-raka, yawa-rakai
0x0096e3|難|1576|難 [4]|隹|18|6||difficult|ナン、かた-い、むずか-しい|nan, kata-i, muzuka-shii
0x004e8c|二|1577||二|2|1||two|ニ、ふた、ふた-つ|ni, futa, futa-tsu
0x005c3c|尼|1578||尸|5|S||nun|ニ、あま|ni, ama
0x005f10|弐|1579|貳|貝|6|S||two (falsification prevention)|ニ|ni
0x005302|匂|1580||勹|4|S|2010|scent|にお-う|nio-u
0x008089|肉|1581||肉|6|2||meat|ニク|niku
0x008679|虹|1582||虫|9|S|2010|rainbow|にじ|niji
0x0065e5|日|1583||日|4|1||day|ニチ、ジツ、ひ、か|nichi, jitsu, hi, ka
0x005165|入|1584||入|2|1||enter|ニュウ、い-る、い-れる、はい-る|nyū, i-ru, i-reru, hai-ru
0x004e73|乳|1585||乙|8|6||milk|ニュウ、ちち、ち|nyū, chichi, chi
0x005c3f|尿|1586||尸|7|S||urine|ニョウ|nyō
0x004efb|任|1587||人|6|5||responsibility|ニン、まか-せる、まか-す|nin, maka-seru, maka-su
0x00598a|妊|1588||女|7|S||pregnancy|ニン|nin
0x005fcd|忍|1589||心|7|S||endure|ニン、しの-ぶ、しの-ばせる|nin, shino-bu, shino-baseru
0x008a8d|認|1590||言|14|6||recognize|ニン、みと-める|nin, mito-meru
0x005be7|寧|1591||宀|14|S||rather|ネイ|nei
0x0071b1|熱|1592||火|15|4||heat|ネツ、あつ-い|netsu, atsu-i
0x005e74|年|1593||干|6|1||year|ネン、とし|nen, toshi
0x005ff5|念|1594||心|8|4||thought|ネン|nen
0x00637b|捻|1595||手|11|S|2010|twist|ネン|nen
0x007c98|粘|1596||米|11|S||sticky|ネン、ねば-る|nen, neba-ru
0x0071c3|燃|1597||火|16|5||burn|ネン、も-える、も-やす、も-す|nen, mo-eru, mo-yasu, mo-su
0x0060a9|悩|1598|惱|心|10|S||trouble|ノウ、なや-む、なや-ます|nō, naya-mu, naya-masu
0x007d0d|納|1599||糸|10|6||settlement|ノウ、（ナッ）、（ナ）、（ナン）、（トウ）、おさ-める、おさ-まる|nō, (na'), (na), (nan), (tō), osa-meru, osa-maru
0x0080fd|能|1600||肉|10|5||ability|ノウ|nō
0x008133|脳|1601|腦|肉|11|6||brain|ノウ|nō
0x008fb2|農|1602||辰|13|3||farming|ノウ|nō
0x006fc3|濃|1603||水|16|S||concentrated|ノウ、こ-い|nō, ko-i
0x00628a|把|1604||手|7|S|1981|grasp|ハ|ha
0x006ce2|波|1605||水|8|3||wave|ハ、なみ|ha, nami
0x006d3e|派|1606||水|9|6||sect|ハ|ha
0x007834|破|1607||石|10|5||rend|ハ、やぶ-る、やぶ-れる|ha, yabu-ru, yabu-reru
0x008987|覇|1608|霸|雨|19|S|1981|hegemony|ハ|ha
0x0099ac|馬|1609||馬|10|2||horse|バ、うま、（ま）|ba, uma, (ma)
0x005a46|婆|1610||女|11|S||old woman|バ|ba
0x007f75|罵|1611||网|15|S|2010|insult|バ、ののし-る|ba, nonoshi-ru
0x0062dd|拝|1612|拜|手|8|6||worship|ハイ、おが-む|hai, oga-mu
0x00676f|杯|1613||木|8|S||counter for cupfuls|ハイ、さかずき|hai, sakazuki
0x0080cc|背|1614||肉|9|6||back|ハイ、せ、せい、そむ-く、そむ-ける|hai, se, sei, somu-ku, somu-keru
0x0080ba|肺|1615||肉|9|6||lungs|ハイ|hai
0x004ff3|俳|1616||人|10|6||haiku|ハイ|hai
0x00914d|配|1617||酉|10|3||distribute|ハイ、くば-る|hai, kuba-ru
0x006392|排|1618||手|11|S||repudiate|ハイ|hai
0x006557|敗|1619||攴|11|4||failure|ハイ、やぶ-れる|hai, yabu-reru
0x005ec3|廃|1620|廢|广|12|S||abolish|ハイ、すた-れる、すた-る|hai, suta-reru, suta-ru
0x008f29|輩|1621||車|15|S||comrade|ハイ|hai
0x0058f2|売|1622|賣|貝|7|2||sell|バイ、う-る、う-れる|bai, u-ru, u-reru
0x00500d|倍|1623||人|10|3||double|バイ|bai
0x006885|梅|1624|梅 [4]|木|10|4||ume (Japanese apricot)|バイ、うめ|bai, ume
0x0057f9|培|1625||土|11|S||cultivate|バイ、つちか-う|bai, tsuchika-u
0x00966a|陪|1626||阜|11|S||obeisance|バイ|bai
0x005a92|媒|1627||女|12|S||mediator|バイ|bai
0x008cb7|買|1628||貝|12|2||buy|バイ、か-う|bai, ka-u
0x008ce0|賠|1629||貝|15|S||compensation|バイ|bai
0x00767d|白|1630||白|5|1||white|ハク、ビャク、しろ、（しら）、しろ-い|haku, byaku, shiro, (shira), shiro-i
0x004f2f|伯|1631||人|7|S||chief|ハク|haku
0x0062cd|拍|1632||手|8|S||clap|ハク、（ヒョウ）|haku, (hyō)
0x006cca|泊|1633||水|8|S||overnight|ハク、と-まる、と-める|haku, to-maru, to-meru
0x008feb|迫|1634||辵|8|S||urge|ハク、せま-る|haku, sema-ru
0x00525d|剝 [7]|1635||刀|10|S|2010|peel|ハク、は-がす、は-ぐ、は-がれる、は-げる|haku, ha-gasu, ha-gu, ha-gareru, ha-geru
0x008236|舶|1636||舟|11|S||liner|ハク|haku
0x00535a|博|1637||十|12|4||Dr.|ハク、（バク）|haku, (baku)
0x008584|薄|1638||艸|16|S||dilute|ハク、うす-い、うす-める、うす-まる、うす-らぐ、うす-れる|haku, usu-i, usu-meru, usu-maru, usu-ragu, usu-reru
0x009ea6|麦|1639|麥|麥|7|2||wheat|バク、むぎ|baku, mugi
0x006f20|漠|1640||水|13|S|1981|vague|バク|baku
0x007e1b|縛|1641||糸|16|S||truss|バク、しば-る|baku, shiba-ru
0x007206|爆|1642||火|19|S||explode|バク|baku
0x007bb1|箱|1643||竹|15|3||box|はこ|hako
0x007bb8|箸 [7]|1644||竹|15|S|2010|chopsticks|はし|hashi
0x007551|畑|1645||田|9|3||farm|はた、はたけ|hata, hatake
0x00808c|肌|1646||肉|6|S|1981|texture|はだ|hada
0x00516b|八|1647||八|2|1||eight|ハチ、や、や-つ、やっ-つ、（よう）|hachi, ya, ya-tsu, ya'-tsu, (yō)
0x009262|鉢|1648||金|13|S|1981|bowl|ハチ、（ハツ）|hachi, (hatsu)
0x00767a|発|1649|發|癶|9|3||departure|ハツ、ホツ|hatsu, hotsu
0x009aea|髪|1650|髮|髟|14|S||hair of the head|ハツ、かみ|hatsu, kami
0x004f10|伐|1651||人|6|S||fell|バツ|batsu
0x00629c|抜|1652|拔|手|7|S||slip out|バツ、ぬ-く、ぬ-ける、ぬ-かす、ぬ-かる|batsu, nu-ku, nu-keru, nu-kasu, nu-karu
0x007f70|罰|1653||网|14|S||penalty|バツ、バチ|batsu, bachi
0x0095a5|閥|1654||門|14|S||clique|バツ|batsu
0x0053cd|反|1655||又|4|3||anti-|ハン、（ホン）、（タン）、そ-る、そ-らす|han, (hon), (tan), so-ru, so-rasu
0x00534a|半|1656||十|5|2||half|ハン、なか-ば|han, naka-ba
0x006c3e|氾|1657||水|5|S|2010|spread out|ハン|han
0x0072af|犯|1658||犬|5|5||crime|ハン、おか-す|han, oka-su
0x005e06|帆|1659||巾|6|S||sail|ハン、ほ|han, ho
0x006c4e|汎|1660||水|6|S|2010|pan-|ハン|han
0x004f34|伴|1661||人|7|S||consort|ハン、バン、ともな-う|han, ban, tomona-u
0x005224|判|1662||刀|7|5||judge|ハン、バン|han, ban
0x005742|坂|1663||土|7|3||slope|ハン、さか|han, saka
0x00962a|阪|1664||阜|7|4|2010|heights|ハン|han
0x00677f|板|1665||木|8|3||board|ハン、バン、いた|han, ban, ita
0x007248|版|1666||片|8|5||printing block|ハン|han
0x0073ed|班|1667||玉|10|6||squad|ハン|han
0x007554|畔|1668||田|10|S||paddy-ridge|ハン|han
0x00822c|般|1669||舟|10|S||generally|ハン|han
0x008ca9|販|1670||貝|11|S||marketing|ハン|han
0x006591|斑|1671||文|12|S|2010|blemish|ハン|han
0x0098ef|飯|1672||食|12|4||meal|ハン、めし|han, meshi
0x00642c|搬|1673||手|13|S||conveyor|ハン|han
0x007169|煩|1674||火|13|S||anxiety|ハン、（ボン）、わずら-う、わずら-わす|han, (bon), wazura-u, wazura-wasu
0x009812|頒|1675||頁|13|S||partition|ハン|han
0x007bc4|範|1676||竹|15|S||pattern|ハン|han
0x007e41|繁|1677|繁 [4]|糸|16|S||luxuriant|ハン|han
0x0085e9|藩|1678||艸|18|S||clan|ハン|han
0x006669|晩|1679|晚|日|12|6||nightfall|バン|ban
0x00756a|番|1680||田|12|2||one's turn|バン|ban
0x0086ee|蛮|1681|蠻|虫|12|S||barbarian|バン|ban
0x0076e4|盤|1682||皿|15|S||tray|バン|ban
0x006bd4|比|1683||比|4|5||compare|ヒ、くら-べる|hi, kura-beru
0x0076ae|皮|1684||皮|5|3||skin|ヒ、かわ|hi, kawa
0x005983|妃|1685||女|6|S||queen|ヒ|hi
0x005426|否|1686||口|7|6||negate|ヒ、いな|hi, ina
0x006279|批|1687||手|7|6||criticism|ヒ|hi
0x005f7c|彼|1688||彳|8|S||he|ヒ、かれ、（かの）|hi, kare, (kano)
0x0062ab|披|1689||手|8|S|1981|expose|ヒ|hi
0x0080a5|肥|1690||肉|8|5||fertilizer|ヒ、こ-える、こえ、こ-やす、こ-やし|hi, ko-eru, koe, ko-yasu, ko-yashi
0x00975e|非|1691||非|8|5||negative|ヒ|hi
0x005351|卑|1692|卑 [4]|十|9|S||lowly|ヒ、いや-しい、いや-しむ、いや-しめる|hi, iya-shii, iya-shimu, iya-shimeru
0x0098db|飛|1693||飛|9|4||fly|ヒ、と-ぶ、と-ばす|hi, to-bu, to-basu
0x0075b2|疲|1694||疒|10|S||exhausted|ヒ、つか-れる|hi, tsuka-reru
0x0079d8|秘|1695|祕|示|10|6||secret|ヒ、ひ-める|hi, hi-meru
0x0088ab|被|1696||衣|10|S||incur|ヒ、こうむ-る|hi, kōmu-ru
0x0060b2|悲|1697||心|12|3||sad|ヒ、かな-しい、かな-しむ|hi, kana-shii, kana-shimu
0x006249|扉|1698||戶|12|S|1981|front door|ヒ、とびら|hi, tobira
0x008cbb|費|1699||貝|12|5||expense|ヒ、つい-やす、つい-える|hi, tsui-yasu, tsui-eru
0x007891|碑|1700|碑 [4]|石|14|S||tombstone|ヒ|hi
0x007f77|罷|1701||网|15|S||quit|ヒ|hi
0x00907f|避|1702||辵|16|S||evade|ヒ、さ-ける|hi, sa-keru
0x005c3e|尾|1703||尸|7|S||tail|ビ、お|bi, o
0x007709|眉|1704||目|9|S|2010|eyebrow|ビ、（ミ）、まゆ|bi, (mi), mayu
0x007f8e|美|1705||羊|9|3||beauty|ビ、うつく-しい|bi, utsuku-shii
0x005099|備|1706||人|12|5||provide|ビ、そな-える、そな-わる|bi, sona-eru, sona-waru
0x005fae|微|1707||彳|13|S||delicate|ビ|bi
0x009f3b|鼻|1708||鼻|14|3||nose|ビ、はな|bi, hana
0x00819d|膝|1709||肉|15|S|2010|knee|ひざ|hiza
0x008098|肘|1710||肉|7|S|2010|elbow|ひじ|hiji
0x005339|匹|1711||匸|4|S||equal|ヒツ、ひき|hitsu, hiki
0x005fc5|必|1712||心|5|4||without fail|ヒツ、かなら-ず|hitsu, kanara-zu
0x006ccc|泌|1713||水|8|S||ooze|ヒツ、ヒ|hitsu, hi
0x007b46|筆|1714||竹|12|3||writing brush|ヒツ、ふで|hitsu, fude
0x0059eb|姫|1715||女|10|S||princess|ひめ|hime
0x00767e|百|1716||白|6|1||hundred|ヒャク|hyaku
0x006c37|氷|1717||水|5|3||ice|ヒョウ、こおり、ひ|hyō, koori, hi
0x008868|表|1718||衣|8|3||express|ヒョウ、おもて、あらわ-す、あらわ-れる|hyō, omote, arawa-su, arawa-reru
0x004ff5|俵|1719||人|10|6||bag|ヒョウ、たわら|hyō, tawara
0x007968|票|1720||示|11|4||ballot|ヒョウ|hyō
0x008a55|評|1721||言|12|5||evaluate|ヒョウ|hyō
0x006f02|漂|1722||水|14|S||drift|ヒョウ、ただよ-う|hyō, tadayo-u
0x006a19|標|1723||木|15|4||signpost|ヒョウ|hyō
0x0082d7|苗|1724||艸|8|S||seedling|ビョウ、なえ、（なわ）|byō, nae, (nawa)
0x0079d2|秒|1725||禾|9|3||second (part of time)|ビョウ|byō
0x0075c5|病|1726||疒|10|3||sick|ビョウ、（ヘイ）、や-む、やまい|byō, (hei), ya-mu, yamai
0x0063cf|描|1727||手|11|S||sketch|ビョウ、えが-く、か-く|byō, ega-ku, ka-ku
0x00732b|猫|1728||犬|11|S|1981|cat|ビョウ、ねこ|byō, neko
0x0054c1|品|1729||口|9|3||article|ヒン、しな|hin, shina
0x006d5c|浜|1730|濱|水|10|S||seacoast|ヒン、はま|hin, hama
0x008ca7|貧|1731||貝|11|5||poor|ヒン、ビン、まず-しい|hin, bin, mazu-shii
0x008cd3|賓|1732|賓 [4]|貝|15|S||V.I.P.|ヒン|hin
0x00983b|頻|1733|頻 [4]|頁|17|S|1981|repeatedly|ヒン|hin
0x00654f|敏|1734|敏 [4]|攴|10|S||cleverness|ビン|bin
0x0074f6|瓶|1735|甁|瓦|11|S|1981|flower pot|ビン|bin
0x004e0d|不|1736||一|4|4||non-|フ、ブ|fu, bu
0x00592b|夫|1737||大|4|4||husband|フ、（フウ）、おっと|fu, (fū), otto
0x007236|父|1738||父|4|2||father|フ、ちち|fu, chichi
0x004ed8|付|1739||人|5|4||attach|フ、つ-ける、つ-く|fu, tsu-keru, tsu-ku
0x005e03|布|1740||巾|5|5||linen|フ、ぬの|fu, nuno
0x006276|扶|1741||手|7|S||aid|フ|fu
0x005e9c|府|1742||广|8|4||urban prefecture|フ|fu
0x006016|怖|1743||心|8|S||dreadful|フ、こわ-い|fu, kowa-i
0x00961c|阜|1744||阜|8|4|2010|mound|（フ）[6]|(fu)
0x009644|附|1745||阜|8|S||affixed|フ|fu
0x008a03|訃|1746||言|9|S|2010|obituary|フ|fu
0x008ca0|負|1747||貝|9|3||lose|フ、ま-ける、ま-かす、お-う|fu, ma-keru, ma-kasu, o-u
0x008d74|赴|1748||走|9|S||proceed|フ、おもむ-く|fu, omomu-ku
0x006d6e|浮|1749||水|10|S||floating|フ、う-く、う-かれる、う-かぶ、う-かべる|fu, u-ku, u-kareru, u-kabu, u-kaberu
0x005a66|婦|1750||女|11|5||lady|フ|fu
0x007b26|符|1751||竹|11|S||token|フ|fu
0x005bcc|富|1752||宀|12|4||rich|フ、（フウ）、と-む、とみ|fu, (fū), to-mu, tomi
0x00666e|普|1753||日|12|S||universal|フ|fu
0x008150|腐|1754||肉|14|S||rot|フ、くさ-る、くさ-れる、くさ-らす|fu, kusa-ru, kusa-reru, kusa-rasu
0x006577|敷|1755||攴|15|S||spread|フ、し-く|fu, shi-ku
0x00819a|膚|1756||肉|15|S||skin|フ|fu
0x008ce6|賦|1757||貝|15|S||levy|フ|fu
0x008b5c|譜|1758||言|19|S||musical score|フ|fu
0x004fae|侮|1759|侮 [4]|人|8|S||scorn|ブ、あなど-る|bu, anado-ru
0x006b66|武|1760||止|8|5||military|ブ、ム|bu, mu
0x0090e8|部|1761||邑|11|3||part|ブ|bu
0x00821e|舞|1762||舛|15|S||dance|ブ、ま-う、まい|bu, ma-u, mai
0x005c01|封|1763||寸|9|S||seal|フウ、ホウ|fū, hō
0x0098a8|風|1764||風|9|2||wind|フウ、（フ）、かぜ、（かざ）|fū, (fu), kaze, (kaza)
0x004f0f|伏|1765||人|6|S||prostrated|フク、ふ-せる、ふ-す|fuku, fu-seru, fu-su
0x00670d|服|1766||月|8|3||clothes|フク|fuku
0x00526f|副|1767||刀|11|4||vice|フク|fuku
0x005e45|幅|1768||巾|12|S||breadth|フク、はば|fuku, haba
0x005fa9|復|1769||彳|12|5||again|フク|fuku
0x00798f|福|1770|福 [4]|示|13|3||luck|フク|fuku
0x008179|腹|1771||肉|13|6||abdomen|フク、はら|fuku, hara
0x008907|複|1772||衣|14|5||duplicate|フク|fuku
0x008986|覆|1773||襾|18|S||capsize|フク、おお-う、くつがえ-す、くつがえ-る|fuku, oo-u, kutsugae-su, kutsugae-ru
0x006255|払|1774|拂|手|5|S||pay|フツ、はら-う|futsu, hara-u
0x006cb8|沸|1775||水|8|S||seethe|フツ、わ-く、わ-かす|futsu, wa-ku, wa-kasu
0x004ecf|仏|1776|佛|人|4|5||Buddha|ブツ、ほとけ|butsu, hotoke
0x007269|物|1777||牛|8|3||thing|ブツ、モツ、もの|butsu, motsu, mono
