JAPANESE_ja_Hani_x_jsource
===========================

Characters include in the JAPANESE_ja_Hani_x_jsource ja_Hani_x_jsource set
===========================================================================

~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
003e94           㺔
003eb2           㺲
003eda           㻚
003ee1           㻡
003ee8           㻨
003f0b           㼋
003f18           㼘
003f3c           㼼
003f56..003f57   㽖 㽗
003f6a           㽪
003f72           㽲
003f75           㽵
003f77           㽷
003f97           㾗
003fae           㾮
003fc2           㿂
003fc9           㿉
003fcb           㿋
003fcd           㿍
003fd7           㿗
003fdf           㿟
003fe4           㿤
004034..004035   䀴 䀵
004039           䀹
004040           䁀
004048           䁈
004050..004051   䁐 䁑
004058           䁘
00405f           䁟
004071           䁱
00408a           䂊
004093           䂓
004096           䂖
0040a2           䂢
0040b2           䂲
0040cd           䃍
0040dd           䃝
0040ef           䃯
0040fe           䃾
004100           䄀
004102..004103   䄂 䄃
004105           䄅
004107           䄇
004112           䄒
004126           䄦
00412a..00412b   䄪 䄫
004138           䄸
004145..004146   䅅 䅆
004148           䅈
00414b           䅋
00414f           䅏
00415e           䅞
004162..004163   䅢 䅣
004165           䅥
004181           䆁
004192           䆒
0041b4           䆴
0041bf           䆿
0041ca..0041cb   䇊 䇋
0041d2           䇒
0041e1           䇡
0041e6           䇦
0041ee           䇮
0041f1           䇱
0041f3           䇳
0041ff           䇿
004207           䈇
00420e           䈎
004215           䈕
00421e           䈞
004227           䈧
004234..004235   䈴 䈵
004246           䉆
004256           䉖
00425c           䉜
004264           䉤
00427a           䉺
00427d           䉽
004280           䊀
004285           䊅
004291           䊑
004293           䊓
004297           䊗
0042a2..0042a3   䊢 䊣
0042af           䊯
0042b6           䊶
0042c1           䋁
0042c6..0042c7   䋆 䋇
0042d0           䋐
0042d6           䋖
0042db           䋛
0042dd           䋝
0042e8           䋨
004302           䌂
004306..004307   䌆 䌇
004313           䌓
004316           䌖
00431e           䌞
00432b..00432c   䌫 䌬
004343           䍃
00434f           䍏
00436a           䍪
0043a9           䎩
0043ca..0043cb   䏊 䏋
0043d5           䏕
0043de           䏞
0043ec           䏬
0043ee..0043f0   䏮 䏯 䏰
0043f7..0043f8   䏷 䏸
004408           䐈
00440c           䐌
004417           䐗
00441c           䐜
004422           䐢
004424           䐤
004451           䑑
004453           䑓
00445b           䑛
004467..004468   䑧 䑨
00446d           䑭
004476           䑶
00447a           䑺
004491           䒑
004494           䒔
0044a2           䒢
0044a9           䒩
0044ab           䒫
0044b1           䒱
0044b3           䒳
0044b6           䒶
0044b9           䒹
0044be           䒾
0044c1           䓁
0044cc           䓌
0044d0           䓐
0044d3..0044d4   䓓 䓔
0044e6           䓦
0044f2           䓲
0044f5..0044f6   䓵 䓶
0044fa           䓺
004506           䔆
004508           䔈
00450a           䔊
00450d           䔍
004524..004525   䔤 䔥
004535           䔵
00453b..00453c   䔻 䔼
004543           䕃
00454c           䕌
00455e           䕞
00456b           䕫
004576           䕶
00457a           䕺
00457e           䕾
004587           䖇
00458d..00458e   䖍 䖎
004593           䖓
00459b           䖛
00459d           䖝
0045a3           䖣
0045a7           䖧
0045b8           䖸
0045d9           䗙
0045dd           䗝
0045df           䗟
0045e5           䗥
0045ea           䗪
0045f3           䗳
004600           䘀
00460d           䘍
00460f..004610   䘏 䘐
004616           䘖
004618           䘘
004621           䘡
004631           䘱
00463a           䘺
004641           䙁
00465e           䙞
004665           䙥
004672           䙲
004674           䙴
004679..00467a   䙹 䙺
00467d           䙽
004688           䚈
0046a1           䚡
0046ac           䚬
0046ae..0046af   䚮 䚯
0046b1           䚱
0046b8           䚸
0046d1           䛑
0046d5           䛕
0046e6           䛦
0046ed..0046ee   䛭 䛮
0046f1           䛱
00470b..00470c   䜋 䜌
00470f           䜏
00471f           䜟
004722           䜢
00472c           䜬
004749           䝉
004764           䝤
004768..004769   䝨 䝩
00476f           䝯
004777           䝷
00477a           䝺
00477f           䝿
0047af           䞯
0047e6           䟦
0047fd           䟽
004801           䠁
004816           䠖
004834           䠴
004844           䡄
00484e           䡎
004871           䡱
004889           䢉
004897           䢗
00489e..00489f   䢞 䢟
0048a3           䢣
0048b5           䢵
0048d0           䣐
0048db           䣛
0048e6           䣦
0048e9           䣩
0048ec           䣬
0048f3..0048f4   䣳 䣴
00490e           䤎
00491b           䤛
00491d..00491e   䤝 䤞
004922..004924   䤢 䤣 䤤
004929           䤩
00492b           䤫
004930..004931   䤰 䤱
004937           䤷
004943           䥃
00494d..00494f   䥍 䥎 䥏
004962           䥢
00496c           䥬
00496e           䥮
004976           䥶
004987           䦇
004993           䦓
00499a           䦚
00499c           䦜
00499e           䦞
0049ad           䦭
0049b0           䦰
0049b4           䦴
0049bd..0049be   䦽 䦾
0049c4           䧄
0049c9           䧉
0049cf           䧏
0049d4           䧔
0049de           䧞
0049e2           䧢
0049e7           䧧
0049f6           䧶
0049fa           䧺
004a04           䨄
004a16           䨖
004a29           䨩
004a2c           䨬
004a4d           䩍
004a57           䩗
004a6b           䩫
004a84           䪄
004aa9           䪩
004ab5           䪵
004ab7..004ab8   䪷 䪸
004abc           䪼
004ad3           䫓
004add           䫝
004aeb           䫫
004b22           䬢
004b3b           䬻
004b55           䭕
004b70           䭰
004b75           䭵
004b7f           䭿
004b9e           䮞
004bb2           䮲
004bc2           䯂
004bca           䯊
004bd2           䯒
004bdb           䯛
004be8           䯨
004beb..004bec   䯫 䯬
004c07           䰇
004c0c           䰌
004c17           䰗
004c20           䰠
004c35           䰵
004c3a           䰺
004c4d           䱍
004c70           䱰
004c76           䱶
004cac           䲬
004cb3           䲳
004cbd..004cbe   䲽 䲾
004cc4           䳄
004cd1           䳑
004ce1           䳡
004d07           䴇
004d0e           䴎
004d1f           䴟
004d21           䴡
004d77           䵷
004d91           䶑
004dac           䶬
004daf..004db0   䶯 䶰
004e00..004e05   一 丁 丂 七 丄 丅
004e07..004e12   万 丈 三 上 下 丌 不 与 丏 丐 丑 丒
004e14..004e19   且 丕 世 丗 丘 丙
004e1e..004e1f   丞 丟
004e21           両
004e23..004e24   丣 两
004e26           並
004e28..004e32   丨 丩 个 丫 丬 中 丮 丯 丰 丱 串
004e35..004e36   丵 丶
004e38..004e39   丸 丹
004e3b..004e3c   主 丼
004e3f..004e45   丿 乀 乁 乂 乃 乄 久
004e47..004e48   乇 么
004e4b           之
004e4d..004e4f   乍 乎 乏
004e51           乑
004e55..004e5a   乕 乖 乗 乘 乙 乚
004e5c..004e5f   乜 九 乞 也
004e62..004e63   乢 乣
004e68..004e69   乨 乩
004e71           乱
004e73..004e75   乳 乴 乵
004e79           乹
004e7e..004e80   乾 乿 亀
004e82           亂
004e85..004e86   亅 了
004e88..004e8e   予 争 亊 事 二 亍 于
004e91..004e92   云 互
004e94..004e99   五 井 亖 亗 亘 亙
004e9b..004ea2   些 亜 亝 亞 亟 亠 亡 亢
004ea4..004ea6   交 亥 亦
004ea8           亨
004eab..004eb0   享 京 亭 亮 亯 亰
004eb3           亳
004eb6           亶
004eb9..004ebc   亹 人 亻 亼
